ID,标题,年份,副标题（国家/类型/导演/演员）,评分,海报,评分人数
3271800,皮罗斯马尼 ფიროსმანი,1969,"  苏联 / 剧情,传记 / 吉奥尔吉·申格拉亚 / Avtandil Varazi,Dodo Abashidze,Zurab Kapianidze,Boris Tsipuria,Amir Kakabadze ",9.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2270776788.jpg,2183
1428007,路德维希 Ludwig,1973,"  意大利,法国,西德,摩纳哥 / 剧情,传记,历史 / 卢基诺·维斯康蒂 / 赫尔穆特·贝格,罗密·施耐德,特瑞沃·霍华德,西尔瓦娜·曼加诺,杰特·弗罗比,赫尔穆特·格里姆,Izabella Telezynska,翁贝托·奥尔西尼,约翰 梅尔德-布朗,索尼娅·彼得罗芙娜,弗尔克·博内特,海因茨·穆格,阿德里娅娜·阿斯蒂,马克·波雷尔,诺拉·里奇,马克·伯恩斯,Maurizio Bonuglia,亚历山大·阿勒森,Kurt Großkurth,卡拉·曼奇尼,Karl-Heinz Peters,Wolfram Schaerf,Henning Schlüter,埃娃·阿克森,Alexander Stephan,Karl-Heinz Windhorst,莱卡·朱里,Hans Elwenspoek,Berno von Cramm,Friedrich von Ledebur ",8.4,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2524829704.jpg,2196
1303465,橄榄树下的情人 زير درختان زيتون,1994,"  伊朗,法国 / 剧情 / 阿巴斯·基亚罗斯塔米 / 默罕默德·阿里·科沙瓦兹,法德哈·基德曼,Zarifeh Shiva,侯赛因·拉扎伊,Tahereh Ladanian,Hocine Redai,Zahra Nourouzi,Nosrat Bagheri,Azim Aziz Nia,Ostadvali Babaei,N. Boursadiki,科达·巴和·迪范,艾哈迈德·艾哈迈德·波,巴比·艾哈迈德·波,Mahbanou Darabi,贾法·帕纳西 ",8.4,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1548720649.jpg,14103
1917633,农奴,1963,"  中国大陆 / 剧情 / 李俊 / 旺堆,强巴,小旺堆,小多吉,拾崔卓玛,白玛央杰,扎西拉姆,顿珠平措,次成,多吉,索郎次仁,次仁多吉,穷达,次仁央宗,索郎绕登 ",7.9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2378679444.jpg,2025
1422020,我这一辈子,1950,"  中国大陆 / 剧情,历史 / 石挥 / 石挥,魏鹤龄,崔超明,沈扬,李纬,程之,梁明 ",8.8,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2046265383.jpg,12347
1424629,林家铺子,1959,"  中国大陆 / 剧情 / 水华 / 谢添,林彬,马薇,于蓝,韩涛 ",8.3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2315583740.jpg,8925
1432825,白毛女,1950,"  中国大陆 / 剧情 / 王滨,水华 / 陈强,田华,胡朋,李百万,张守维,李壬林 ",7.3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2495693786.jpg,5051
1424627,乌鸦与麻雀 烏鴉与麻雀,1949,"  中国大陆 / 剧情 / 郑君里 / 赵丹,上官云珠,孙道临,李天济,黄宗英,魏鹤龄,吴茵,王蓓 ",8.7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2582290536.jpg,9788
1389915,一江春水向东流 一江春水向東流,1947,"  中国大陆 / 剧情 / 蔡楚生,郑君里 / 白杨,陶金,舒绣文,上官云珠,吴茵 ",8.5,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503175729.jpg,15326
1301124,大理石人 Człowiek z marmuru,1977,"  波兰 / 剧情 / 安杰伊·瓦伊达 / 耶日·拉齐维沃维奇,克里斯提娜·杨达,塔德乌什·罗姆尼斯基,亚采克·沃姆尼茨基,米哈乌·塔尔科夫斯基,彼得·切希拉克,威尔斯拉乌·沃尔希奇,克里斯蒂娜·扎赫瓦托维奇,玛格达·特蕾莎·武伊齐克,博古斯瓦夫·索布丘克,Leonard Zajaczkowski,亚采克·多曼斯基,伊雷娜·拉斯科夫斯卡,兹齐斯瓦夫·科津,维斯瓦夫·杰维奇,卡齐米日·卡乔尔,埃娃·津泰克,安德烈·瑟韦林 ",8.2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1787137279.jpg,1374
